index,Image Name,AI generated Summary,Author Summary,Cosine_Similarity Score,ROUGE-WE,BertScore,BLEU Score,METEOR Score
0,01.jpg," This graph shows the frequency of different types of climate information used by farmers. The most frequently used type of information is weather forecasts, which are used by 40% of farmers. This is followed by seasonal forecasts, which are used by 20% of farmers. Climate change projections and observed historical climate data are used by 10% and 5% of farmers, respectively. The least frequently used type of information is observed historical weather data, which is used by only 5% of farmers.","Survey results - usage and demand among Swedish extension offices
The respondents were asked what type of weather or climate information they currently use in their profession, and the results show that weather forecasts are the most common type of information used among the respondents (Fig. 2), whereas climate change projections are the least used. On the four-point Likert scale ranging from ?Never? to ?Very often? using the information, 26 (40.0 % of the respondents to that question) replied that they never use climate change projections. While only six respondents use climate change projections ?very often?, 52.5 % (n = 21) of the respondents that replied that they have used projections at some point (n = 40,) regarded the information as very important to their profession (see, Supplementary Material). Conversely, two respondents that use climate projections responded that they do not regard the information as important in their profession.",27.99%,81.28%,85.05%,23.64%,81.86%
1,02.jpg, This algorithm shows the diagnostic algorithm for pleural effusion.,"We developed a flowchart to diagnose tuberculous pleurisy, pleural infection, malignant pleural effusion, and other diseases by using the above markers (Fig. 1). The flowchart includes the following seven markers: pleural ADA =40 IU/L, pleural fluid LDH <825 IU/L, pleural fluid ADA/TP < 14, neutrophil predominance or cell degeneration, peripheral blood WBC =9200/µL or serum CRP =12 mg/dL, pleural amylase =75 U/L, and presence of pneumothorax; pleural LDH/ADA <15 was excluded according to the algorithm of a decision tree. The final decision columns in the flowchart are labeled from left to right as Groups A to I. The diagnostic accuracy rate was 71.7 % for the four diseases, with 79.3 % sensitivity and 75.4 % positive predictive value (PPV) for tuberculosis pleurisy, 75.8 % sensitivity and 83.2 % PPV for pleural infection, 88.6 % sensitivity and 68.8 % PPV for malignant pleural effusion, and 33.0 % sensitivity and 60.0 % PPV for other diseases in the flowchart. Misdiagnosis ratios were 4.6 % (n = 36/775) for tuberculosis pleurisy, 6.8 % (n = 52/762) for pleural infection, 8.3 % (n = 41/494) for malignant pleural effusion, and 16.6 % (n = 140/843) for other diseases.The diagnostic accuracy rate was 71.7 % for the four diseases, with 79.3 % sensitivity and 75.4 % positive predictive value (PPV) for tuberculosis pleurisy, 75.8 % sensitivity and 83.2 % PPV for pleural infection, 88.6 % sensitivity and 68.8 % PPV for malignant pleural effusion, and 33.0 % sensitivity and 60.0 % PPV for other diseases in the flowchart. The misdiagnosis ratios were 4.6 % (n = 36/775) for tuberculosis pleurisy, 6.8 % (n = 52/762) for pleural infection, 8.3 % (n = 41/494) for malignant pleural effusion, and 16.6 % (n = 140/843) for other diseases.",32.24%,41.40%,79.10%,0.00%,91.47%
2,03.jpg, A mixed methods approach was used in this study. Data were collected in two phases: quantitative and qualitative. The quantitative phase involved a survey of PY2/3 pharmacy students enrolled in the integrated pharmacy care course. The survey was used to collect data on students' perceptions of the integration of the pharmacy care course with other courses in the pharmacy curriculum. The quantitative data were analyzed using descriptive statistics and ANOVA. The qualitative phase involved interviews with PY2/3 pharmacy students enrolled in the integrated pharmacy care course. The interviews were used to collect data on students' experiences with the integration of the pharmacy care course with other courses in the pharmacy curriculum. The qualitative data were analyzed using thematic analysis. The results of the quantitative and qualitative phases were then integrated to provide a comprehensive understanding of students' perceptions and experiences of the integration of the pharmacy care course with other courses in the pharmacy curriculum.,"A diagram illustrating the mixed-methods design is shown in Fig. 1. In the QUANT phase, students enrolled in the IPC CVS-II course were invited to participate in a voluntary (with no compensation) pre- and post-survey on the effectiveness of flowcharts using a 5-point Likert-like rating scale (Strongly agree to Strongly disagree). Three students from the 2019 class and 2 faculty members were asked to review the initial survey and provide feedback. Students' performance was measured as scores in the 3 content areas (shock, antiarrhythmic, and acute coronary syndrome) on the summative examinations with (2019?2021) or without flowcharts (2017?2018). The data were analyzed using SPSS (version 28.0.0.0, Chicago, IL). Once the assumptions of normality and homogeneity were met, a one-way analysis of variance was used to determine the effectiveness of student performance, and the descriptive statistics for each cohort were recorded.",57.04%,75.41%,83.51%,56.13%,82.85%
3,04.jpg," The flowchart shows the different uses of a decision-making framework. The framework can be used to help students retain information, organize content, and break down information. It can also be used to help students apply information to other courses, build confidence, and reduce study time. Additionally, the framework can be used as a study tool to help students with outlining, quick reference, and understanding content.","As shown in Fig. 2, the coding analysis yielded 21 codes placed into 4 categories. Three major themes emerged from the qual analysis, namely ?used as a medium for retention and recall,? ?used as a study tool,? and ?used as a decision-making framework.?",24.86%,84.12%,84.85%,42.56%,76.77%
4,05.jpg," The algorithm shows the decision-making process for extubation or surgical airway in pediatric patients who require intubation in the intensive care unit (ICU). If the patient's intubation period exceeds or is expected to exceed two weeks, extubation should be considered. If the patient is not reversible, a surgical airway should be considered. If the patient is reversible, additional observation for 1 to 2 weeks is recommended. If extubation is possible, the patient should be extubated. If extubation is not possible, tracheostomy with a temporary tracheostoma should be performed. If the patient has a history of repeated aspiration pneumonia, tracheostomy with a permanent tracheostoma should be performed. If the patient has continuous saliva aspiration and permission from the parents for elimination of the patient's vocal function, aspiration prevention surgery (LTS, SGLC, LC, etc.) should be performed.","A flowchart for selecting an appropriate surgical airway for the long-term management of NIPP with intubation was created by a laryngologist and a pediatrician. Our flowchart includes the following main branching points; possibility of extubation, intubation period, reversibility related to prognosis, history of repeated aspiration pneumonia and/or continuous saliva aspiration, and permission from the parents for elimination of the patients? vocal function (Fig. 1). The included surgeries were as follows: Tracheostomy with Temporary Tracheostoma (TwTT); Tracheostomy with Permanent Tracheostoma (TwPT), which includes sutures from the anterior wall of the trachea to the surrounding skin flaps7, 8; and APSs such as LTS.",37.57%,93.46%,86.55%,51.40%,85.77%
5,06.jpg, The figure shows an OTR ontology. The upper part of the ontology is the core ontology which is independent of the domain. The lower part is the domain ontology which is specific to the food packaging domain.,"TRANSMAT [2], [3] Ontological and Terminological Resource (OTR) represents concepts in the food packaging domain and the relations between them. This OTR is structured in two parts, a core ontology and a domain ontology (see Fig. 1 and [1] for further details). The up-core ontology is the representation of the n-Ary relations structure, defined as a relation concept linked to the arguments composing the relation. The down-core ontology includes concepts specific to the experimental fields, while the concept is categorized as symbolic or quantitative which are associated with measurement units used in experimental fields.",59.93%,74.60%,86.32%,15.64%,89.19%
6,07.jpg," The figures show theの影響 recall and precision@k of different filtering strategies on the CoQA dataset. We can observe that precision generally increases as the filtering threshold increases, but recall decreases. This is because the filtering process removes some of the noisy data, which can lead to a decrease in recall. However, the decrease in recall is usually accompanied by an increase in precision, as the filtered data is of higher quality.","Overall, an acceptable recall i.e. can be obtained with slight candidate filtering. The selection of several candidates has little effect when using frequentist methods. On the other hand, precision is a problem with these methods, i.e. the precision did not exceed with any of the parameters we tested.",36.12%,94.42%,85.19%,44.60%,80.42%
7,08.jpg," The figure shows the four main steps of the text mining process.

**1. Data Preprocessing:**
The first step is to preprocess the text data. This includes cleaning the data, removing stopwords, and stemming the words.

**2. Text Embeddings:**
The text data is converted into numerical vectors using a technique called word embeddings. This allows the text data to be processed by machine learning algorithms.

**3. Text Clustering:**
The text data is clustered into different groups based on the similarity of the text. This can be done using a variety of clustering algorithms.

**4. Topic Modeling:**
The final step is to identify the topics that are discussed in the text data. This can be done using a variety of topic modeling algorithms.","BERTeley has three main features: scientific article preprocessing, topic modeling, and metric calculation. BERTeley?s preprocessing suite addresses the aforementioned challenge by removing specific words from the input data. The topic modeling and metric calculation add quality-of-life features such as pre-selected language models trained specifically on scientific articles, and one-line topic modeling metric calculation. The BERTeley workflow can be seen in Fig. 1. BERTeley can be installed by running the command pip install berteley at the command line (Eric Chagnon and Ushizima, 2023).",30.61%,79.89%,82.49%,43.80%,81.56%
8,09.jpg, Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) flow diagram.,"Fig. 1 outlines the selection process. The search yielded 9427 potential publications from databases, registries and additional sources. After removing duplicates, 7328 records were screened based on their titles and abstracts. Next, 147 articles from databases and registries, and 17 articles from additional sources were assessed for eligibility in full-text. Ultimately, 59 articles comprising 50 studies met the inclusion criteria. When study findings were reported in multiple publications, or there was a need to evaluate a study?s protocol or a pilot test to comprehensively assess an intervention, they were included in the data extraction form together with the main study. However, if additional publications described findings in a research design different from the parent study (e.g. qualitative findings), they were analyzed separately due to differences in methods. The data extraction form synthesizing the review findings can be found in Supplementary file 2.",4.25%,69.59%,79.85%,0.00%,70.88%
9,10.jpg," This diagram shows the relationship between scientific literacy, socioscientific issues, and environmental socioscientific issues. It also shows the different aspects of environmental socioscientific issues, such as the yearly publication, geographical spread, topics addressed, skills, nature of studies, and implications mentioned.","Studies that have used environmental SSI were analyzed. Different aspects on which these studies were analyzed are mentioned in the flowchart (see Fig. 1). All these aspects were finalized after deliberations among the researchers, leading to a consensus being achieved.",13.68%,81.54%,84.55%,40.00%,73.07%
10,100.jpg," **H1a and H1:** The figure shows the hypothesized relationships between media type, closeness to the target, and prediction accuracy. H1a states that the closer the relationship between the influencer and the target, the higher the prediction accuracy. H1 states that the higher the prediction accuracy, the higher the actual effectiveness.","To better understand the signaling process, we propose the following conceptualization. Our key idea is that universities can signal the availability and value of their scientific knowledge through three types of signals transmitted through distinct channels (see Fig. 1): (1) signals to members of scientific communities transmitted through scientific outlets; (2) signals to economic agents transmitted through patents5 and patent offices; and (3) signals to members of society at large transmitted through media outlets.",18.99%,71.63%,82.05%,28.05%,74.28%
11,101.jpg," The figure shows the relationships between the perceived differences between face-to-face (FtF) and email (EMl) in convenience, awkwardness/embarrassment, and effectiveness, and the closeness level to the target (friend vs. stranger), and media selection decision.","The architecture of ArZiGo is composed of 5 main modules (see Fig. 1): User Interface, Knowledge Bases, Search Module, Interaction Processing Module, and Recommendation Module. The User Interface Module allows the users to perform queries and to filter the results, sending the queries to the search module and displaying the results. It also provides the captured interactions to the Interaction Processing Module.",37.79%,77.17%,81.53%,22.37%,74.42%
12,102.jpg," The table shows the results of a study that compared how easy it is for people to seek help from friends vs. strangers, how awkward they feel seeking help, and how embarrassed they feel if they are rejected. The p-value column shows the results of a statistical test that compared the two groups. The effect size column shows the strength of the relationship between the two variables.

For the first question, the p-value is 0.05, which means that there is a 5% chance that the difference between the two groups is due to chance. The effect size is 0.68, which means that the difference between the two groups is large. This suggests that people find it easier to seek help from friends than from strangers.

For the second question, the p-value is <0.001, which means that there is less than a 0.001% chance that the difference between the two groups is due to chance. The effect size is 0.129, which means that the difference between the two groups is moderate. This suggests that people feel more awkward seeking help from friends than from strangers.

For the third question, the p-value is 0.188, which means that there is a 18.8% chance that the difference between the two groups is due to chance. The effect size is 0.015, which means that the difference between the two groups is small. This suggests that people feel equally embarrassed about being rejected by friends and strangers.

Overall, the results of this study suggest that people find it easier to seek help from friends than from strangers, but they feel more awkward doing so. They also feel equally embarrassed about being rejected by friends and strangers.","Fig. 2 illustrates the process that generates users and their interactions. As a result, 684 users have been created with a total number of 3,500,000 interactions approximately. Once the users have been created, a pseudo-random selection of the users whose recommendations will be evaluated has been carried out, where the selected number has been limited to the number of experts recruited by each domain. To avoid any kind of bias, users with a profile which is too general have been discarded.",23.76%,88.07%,80.29%,37.86%,79.26%
13,103.jpg," The table shows the Cronbach's alpha values for each of the three constructs. The Cronbach's alpha values for AwkEmbar and Money are 0.817 and 0.655, respectively, which indicates that these constructs have good internal consistency. However, the Cronbach's alpha value for Effectiveness is not available, which indicates that this construct may not be reliable. Additionally, the Cronbach's alpha values for Convenience and Effectiveness are not available, which indicates that these constructs may not be reliable.","Pre-processing module is used to identify the edges present in the flowchart. Input to this module will be a flowchart which will be uploaded by the user. This module first convert input image into a binary image then apply the Canny edge detection algorithms [10] to identify the edges present in the given figure. Among the edge detection methods developed so far, canny edge detection algorithm is one of the most strictly defined methods that provides good and reliable detection. Owing to its optimality to meet with the necessary criteria for edge detection and the simplicity of process for implementation, it became one of the most popular algorithms for edge detection. ",25.80%,87.76%,81.49%,29.98%,74.01%
14,104.jpg," The table shows the results of a bootstrap analysis. The analysis was conducted to determine the effect of various independent variables on the dependent variable, which is the medium selected. The independent variables are closeness, awkwardness, effectiveness, convenience, money, and the interaction effects of money and closeness, effectiveness and closeness, and convenience and closeness.

The results show that the main effects of closeness, awkwardness, and effectiveness are not significant. However, the main effects of convenience and money are significant. The interaction effects of money and closeness, effectiveness and closeness, and convenience and closeness are also significant.

The results of the bootstrap analysis suggest that the relationship between the independent variables and the dependent variable is complex. The main effects of some of the independent variables are not significant, but the interaction effects of these variables are significant. This suggests that the relationship between the independent variables and the dependent variable is not linear.","We identified publications indexed in the Scopus database. A paper on epilepsy in LA was defined as having at least one author with a Latin American country affiliation. The search strategy included Medical Subject Heading (MeSH) terms for ?epilepsy?. Publications were limited to original research articles, review articles, letter, note, conference paper, short survey, editorial and erratum. For the complete and final search strategy, please refer to Supplementary material 1. A flowchart of the bibliometric search is shown in Figure 1. The period of publication dates was restricted from 1989 to 2018 and to English, Spanish, and Portuguese language only.",30.70%,88.80%,79.69%,40.31%,76.56%
15,105.jpg," Table 4 shows the results of the bias-corrected bootstrap analysis with 5000 replications for the structural model. The results indicate that the path from AwkEmbargo to Effectiveness is significant and negative (b = -0.47, p < 0.05). The path from AwkEmbargo to Convenience is not significant (b = 0.25, p > 0.05). The path from Money to Effectiveness is not significant (b = 0.29, p > 0.05). The path from Money to Convenience is not significant (b = 0.34, p > 0.05). The path from Effectiveness to Strangers is significant and negative (b = -1.59, p < 0.05). The path from Convenience to Strangers is significant and positive (b = 1.64, p < 0.05).","MOOSE, as shown in Fig. 1, can be divided into core capabilities, located in the framework, and physics-specific capabilities, which have been placed in physics modules. The Libtorch-based ML functionalities have been divided between the framework and the MOOSE stochastic tools module (MOOSE-STM) [11], which incorporates algorithms necessary for efficient stochastic analysis, surrogate generation, and data analysis. Even though the syntax of Libtorch is directly available in MOOSE and MOOSE-based applications, several wrapper classes have been created to simplify the utilization, creation, and training of NN models in MOOSE. Fig. 1 presents the integration of Libtorch-based functionalities in MOOSE:",19.35%,67.96%,78.85%,40.35%,73.90%
16,106.jpg," The table shows the results of a bootstrap analysis. The analysis was conducted to determine the effect of closeness and gender on the selection of medium. The results show that closeness has a significant positive effect on the selection of medium, while gender has no significant effect. The interaction between closeness and gender is also not significant.

The bootstrap analysis was conducted using 1000 bootstrap samples. The bias, standard error, and 95% confidence intervals are reported for each coefficient. The bias is the difference between the coefficient estimate from the original sample and the coefficient estimate from the bootstrap sample. The standard error is the standard deviation of the coefficient estimates from the bootstrap samples. The 95% confidence interval is the range of values that is likely to contain the true coefficient value.

For closeness, the bias is 0.032, the standard error is 0.526, and the 95% confidence interval is (-0.215, 1.933). This indicates that the coefficient estimate for closeness is not significantly different from zero.

For gender, the bias is 0.034, the standard error is 0.712, and the 95% confidence interval is (-0.900, 1.682). This indicates that the coefficient estimate for gender is not significantly different from zero.

For the interaction between closeness and gender, the bias is 0.416, the standard error is 2.902, and the 95% confidence interval is (-1.899, 20.382). This indicates that the coefficient estimate for the interaction between closeness and gender is not significantly different from zero.

Overall, the results of the bootstrap analysis suggest that closeness has a significant positive effect on the selection of medium, while gender has no significant effect. The interaction between closeness and gender is also not significant.",Fig. 2. Left: Flowchart of the steps performed to develop a Decision Tree in a ?Classical? analysis and with our proposed Interactive analysis. Right: Strengths and Limitations of Decision Trees Algorithms and experts.,18.68%,72.01%,79.38%,35.97%,71.74%
