index,Image Name,AI generated Summary,Author Summary,Cosine_Similarity Score,ROUGE-WE,BertScore,BLEU Score,METEOR Score
0,images/F1.png, The taxonomy of graphic elements.,"Numerical labels refer to the section headings below which describe how the various membership values are assigned. Note that joint membership states are, in principle, possible but are not allowed in the approach chosen",10.60%,79.12%,84.54%,0.00%,61.79%
1,images/F10.png," The diagram shows the steps taken by the system to suggest keywords and subject areas for a resource to be cataloged. The process starts with the cataloger providing the system with the resource to be cataloged. The system then extracts the title, author, and abstract of the resource. It also identifies the keywords and subject areas that are relevant to the resource. The system then compares the extracted information with the information in its database of previously cataloged resources. It then suggests keywords and subject areas for the resource based on the comparison results. Finally, the cataloger reviews the system's suggestions and makes any necessary changes.","The present processing architecture can be separated in three main components: (I) a preprocessing and segmentation stage (see sections 3.1 to 3.4), (II) a node and edge classification stage (sections 3.5 to 3.7), and (III) a text extraction and recognition stage (sections 3.8 and 3.9).In addition to the processing steps, the rounded vertical boxes represent the data structures aggregating the output of the connector identification (box ”C”), the edge classification (box ”E”, which also contains the edge-node relationships) and the node classification (box ”C”). Dashed lines represent a delayed transfer of data: Either the passage of the graphic component of the flowchart for the detection of the lines connections between nodes, or of the text layer used to extract individual text regions prior to OCR.",55.34%,66.27%,81.50%,44.16%,80.91%
2,images/F11.png," The PRISMA flow diagram shows the process of identifying, screening, and selecting studies for inclusion in the review. A total of 462 articles were identified through database searching, and an additional 120 articles were identified through Google Scholar. After removing duplicates, 550 records were screened, and 350 were removed for various reasons. The remaining 200 records were assessed for eligibility, and 95 were excluded, leaving 105 records to be included in the synthesis.","In the ""Dyspnea"" clinical guidance tree, the question ""Have any fever symptom?"" is directly used as a condition. This approach is not only intuitive for doctors and patients to understand, but it also enables the LLM model to perform reasoning on the CGT.",20.24%,72.22%,82.34%,38.81%,63.36%
3,images/F12.png," In the behavioral domain, the focus is on basic skills required for manipulation and search on the Internet. This includes the ability to control search engines and their features, as well as an awareness of one's own searching orientation and what to do in the information searching process.

In the procedural domain, the focus is on content-general searching approaches and overcoming problems that occur during the search process. This includes the ability to apply trial and error techniques, solve problems, and monitor the search process.

In the metacognitive domain, the focus is on monitoring the search process, identifying key information, and interpreting and evaluating information obtained from the Internet. This includes the ability to think purposefully, select main ideas, and evaluate information sources.","The process for the algorithm starts with the thermal simulation conducted on the patient-specifc model with initial parameters. This generates a computed image that gets aligned, or registered, with the IR image at the corresponding view. The ROI is extracted for the given views and are analyzed by the IRI detection algorithm. If there is no match, a new parameter is generated for thermal simulation and the cycle starts all over again. If there is a match, then the algorithm ends, and the outcome is given. Any red arrow indicates the initial inputs needed for the algorithm to start. Te main detection process can be followed using the blue arrows. Te fowchart legend on the lef shows this distinction between paths as well as the distinction and signifcance of the shapes. A rhombus indicates the typing to be a data. A diamond indicates a decision process. A rectangle indicates a computational or algorithm process. And a rounded rectangle indicates the outcome of the algorithm.",53.64%,91.80%,81.66%,37.87%,80.35%
4,images/F14.png," The table shows the degrees held by literary critics and where they were obtained. The data is broken down by region (North America, Europe, and Other) and degree type (Bachelor's, Master's, PhD, and Other).

For Bachelor's degrees, 59.6% of critics in North America hold a degree, 20.5% in Europe, and 4.7% in Other. For Master's degrees, 62.6% of critics in North America hold a degree, 13.5% in Europe, and 4.1% in Other. For PhDs, 61.4% of critics in North America hold a degree, 19.9% in Europe, and 1.8% in Other. For Other degrees, 6.4% of critics in North America hold a degree, 8.2% in Europe, and 0.0% in Other.

Overall, the table shows that literary critics in North America are more likely to hold a degree than critics in Europe or Other. Critics in North America are also more likely to hold a Bachelor's or Master's degree, while critics in Europe are more likely to hold a PhD.","Experts changed their evaluations after reading the full-text documents for scientific assessed claims. A statistically significant direct association was observed between unfounded statements and the false contextual information (OR = 18.83 for false statements versus correct statements. A direct statistically significant association with unfounded statements emerged for incorrect scientific statements (OR = 2.90 for incorrect versus correct scientific statements. Likewise, unfounded information was significantly associated with undefined scientific claims .",5.31%,61.43%,79.74%,34.60%,74.47%
5,images/F15.png," The table shows the gender and academic rank of literary critics. There are 167 literary critics in total, 43 (25.7%) of whom are female and 124 (74.3%) of whom are male. Of the 43 female literary critics, 6 are full professors, 27 are associate professors, 8 are assistant professors, 0 are emeriti, and 2 are in other ranks. Of the 124 male literary critics, 69 are full professors, 39 are associate professors, 12 are assistant professors, 3 are emeriti, and 1 is in other ranks.","This figure presents a flow chart showing the number of studies at each step in the search and screening process. A total of 258 studies were identified that met the study criteria, including 182 phenomenological studies and 76 phenomenographic studies.",13.88%,70.24%,83.50%,39.61%,71.66%
6,images/F16.png," This diagram of the research process shows the different stages involved in writing a research paper, from the initial idea to the final dissemination of the findings. The first stage is the idea stage, where the researcher comes up with an idea for a research project. The second stage is the preparation stage, where the researcher gathers information and resources for the project. The third stage is the elaboration stage, where the researcher develops the idea and creates an outline for the project. The fourth stage is the writing stage, where the researcher writes the first draft of the paper. The fifth stage is the analysis stage, where the researcher revises and edits the paper. The sixth stage is the dissemination stage, where the researcher shares the findings of the research with others. The seventh stage is the further writing and dissemination stage, where the researcher continues to refine and disseminate the findings.","Papers on information behaviour topics comprise 58.14% and are common in both phenomenological and phenomenographic studies, while other topics represent smaller portions. See Fig. 2. There is a low representation of topics such as legal and ethical aspects (0.39%), cataloguing and library cooperation (0.78%), and historical sources (1.55%).",6.08%,50.20%,80.34%,37.69%,81.07%
7,images/F17.png," The image shows the architecture of the Vision Transformer (ViT) model. 
The model consists of two main components: 
1. a ViT encoder 
2. a modified BERT transformer. 

The ViT encoder is responsible for converting the input image into a sequence of tokens. The modified BERT transformer is then used to process the sequence of tokens and generate a text description of the image.

The ViT encoder is a type of transformer model that is specifically designed for processing images. The transformer model is based on the self-attention mechanism, which allows the model to learn relationships between different parts of the image. The ViT encoder typically consists of a series of transformer layers, each of which consists of a self-attention layer and a feed-forward layer. The self-attention layer allows the model to learn relationships between different parts of the image, while the feed-forward layer allows the model to learn more complex representations of the image.

The modified BERT transformer is a type of transformer model that is specifically designed for processing text. The BERT transformer model is based on the self-attention mechanism, which allows the model to learn relationships between different parts of the text. The modified BERT transformer typically consists of a series of transformer layers, each of which consists of a self-attention layer and a feed-forward layer. The self-attention layer allows the model to learn relationships between different parts of the text, while the feed-forward layer allows the model to learn more complex representations of the text.","Only three studies specifically mentioned validity and reliability as the strategies used for obtaining rigour (Cogan & Martzoukou, 2018; Cutajar, 2017; Klentzin, 2011). Validity criteria form a large part of the strategies that are used for rigour in both phenomenological and phenomenography based on the number of codes (41.96%), followed by generalizability (38.92%), reliability (17.91%), and frameworks (1.21%) See Fig3",24.12%,48.31%,77.55%,37.63%,82.06%
8,images/F18.png, The image shows a neural machine translation model. The model consists of an encoder and a decoder. The encoder converts the input sequence into a numerical embedding. The decoder then uses the embedding to predict the next token in the output sequence.,"Fig. 1 presents the number of references identified at each stage of the review process (not including Chinese journals). In total, 464 references were identified. This was subsequently reduced to 129 references upon detailed examination of the titles and abstracts. Only 38 studies met the final criteria for inclusion in the review. In addition, 12 studies were identified by supplementary methods. For Chinese journals, the review process was similar to the above, but ultimately only one reference met the inclusion criteria for LIS, leading to a total of 51 references selected for syntheses and analysis. Appendix B includes the complete list of papers included in the data set. A list of excluded references, together with the reasons for their exclusion, is available on request from the authors.",39.89%,79.67%,82.12%,6.29%,81.61%
9,images/F19.png," A simplified block flow diagram of a typical chemical process, including the main steps of:
- Feed preparation
- Thermal separation
- Reaction
- Product conditioning

The diagram also shows the possible recycle streams and the addition of reactants. The numbers in the diagram represent the probability of each stream.","Fig. 1 outlines the SciELO Suggester processing cycle. The system starts from a to-be-cataloged incoming resource, which is used to automatically generate queries. The queries are submitted to a library of cases consisting of previously cataloged resources. The retrieved cases that are sufficiently similar to the to-be-cataloged resource under analysis are used to produce suggestions of keywords and subject areas. The cataloger is in charge of deciding which suggestions to include in the new bibliographic record. Once generated, this new record becomes part of the library of cases, expanding the set of suggestions that can be provided by the tool in future requests.",38.51%,90.74%,81.85%,17.55%,76.14%
