index,Image Name,AI generated Summary,Author Summary,Cosine_Similarity Score,ROUGE-WE,BertScore,BLEU Score,METEOR Score
0,1 (2).jpg," The diagram shows a循環經濟的系統思維方法。它包括了5個步驟：

1. 了解和概念化緊密耦合的系統
2. 通過社會技術設計實施可持續性轉型
3. 衡量設計的影響（外部性）
4. 評估對健康、福祉和環境可持續性的影響
5. 評估以告知未來的干預措施

該方法強調了在設計過程中考慮系統的複雜性和相互聯繫性的重要性。它還強調了在設計過程中考慮社會、技術和環境因素的重要性。","Adverse impacts on the natural world resulting from existing and emerging technologies and IS can be described as negative externalities (Dasgupta and Ehrlich, 2013, Perrow, 1991). The field of environmental economics, among other things, involves the study of externalities that generate tangible and intangible costs to the physical environment and its inhabitants (Cropper & Oates, 1992). It is often difficult to quantify these costs given the reach of an incident, and the extent of its irreversible impact. For example, significant oil spills cause major externalities that cannot readily be measured, such as the Deepwater Horizon oil spill, which was estimated to have spilled 4,900,000 barrels of crude oil into the Gulf of Mexico in 2010 (Beyer, Trannum, Bakke, Hodson, & Collier, 2016). There are two main types of negative externalities; the first refers to negative production externalities that can cause, for example, air or water pollution through manufacturing plants powered by technology and other forms of engineering; and the second denotes negative consumption externalities that can cause for instance, traffic congestion and noise pollution that are generated by systems (Biglan, 2009). Externalities caused by technologies and IS may be unanticipated, unintended, and even paradoxical (Pringle, Michael, & Michael, 2016).Unanticipated externalities refer to those incidents and system failures that were not factored into scenario planning and risk management processes during systems design and development, such as the Fukushima Daiichi nuclear disaster whereby a substantial wave surged over defences and flooded reactors causing major radiation leakage (von Hippel, 2011). Unintended consequences of technologies and IS are those that were discounted as potential outcomes of a respective system, but nonetheless transpired (Ash, Berg, & Coiera, 2004). An example is the use of irrigation systems for crops, which subsequently contributes to soil erosion and increased soil salinity (Khan, Tariq, Yuanlai, & Blackwell, 2006). Conversely, paradoxical externalities emerge from attempts to use technologies and IS for advantage and benefit, but where the result is a negative outcome on another aspect of the environment. An example is the introduction of Internet of Things (IoT) devices to monitor energy systems to lower consumption that requires the devices to be powered and over time to be replaced, causing often toxic and non-biodegradable e-waste that is disposed of in landfills (Mukhopadhyay & Suryadevara, 2014).A common element underpinning these types of negative externalities is the impact on public resources that are shared by communities (Pigou, 1920). These include the ocean and its fisheries and clean drinking water, amongst others, leaving individuals and communities vulnerable, potentially compromising their health and wellbeing. Furthermore, these undesirable impacts extend to the natural system and environment. These impacts can be linked to technologies and IS that do not suitably consider socio-ecological and socio-technical considerations, and that fail to recognize the value of design, testing and validation, with sustainability and people in mind (Chen et al., 2008, Trist, 1981).The mitigation of the undesirable consequences of existing and emerging technologies and IS necessitates intervention in the form of sustainability transitions (Loorbach et al., 2017, Smith et al., 2005), moving beyond the existing multi-level perspective (Geels, 2004, Geels, 2011) toward transdisciplinarity. At the heart of these transitions is the establishment and socio-technical (re)design of higher education frameworks resulting in new forms of knowledge production, allowing for the design and redesign of human-centered socio-technical systems for sustainability, and consequently for human benefit (Geels, 2010, Verbong and Geels, 2010). The proposed socio-technical intervention would require commitment to a series of stages or flows, as depicted in Fig. 1, which we define as the Socio-Technical Sustainability Design Cycle. These include: (i) establishing a detailed understanding and conceptualization of the tightly coupled natural and human systems in context and in view of interactions and feedback loops; (ii) implementing the appropriate sustainability transition through a process of socio-technical (re)design; (iii) measuring the effect of the design over time in view of the degree to which negative externalities are reduced or mitigated; (iv) assessing the impact on human health and wellbeing, in addition to environmental sustainability; and (v) iterating to ensure continual evaluation of the tightly coupled system given its evolving nature. It should be noted that despite this proposed cycle, there will be cases in which paradoxical externalities occur, which is an inherent and unavoidable characteristic of tightly coupled systems. This occurs for two reasons: (i) events in nature are not always predictable no matter how “controlled” the socio-technical transitions are through, for example, regulation and policy mandates (Smith et al., 2005), and (ii) interventions themselves are a form of “technology” that are subject to independent and autonomous forces that are “uncontrollable” (Winner, 1978).",6.05%,36.41%,70.69%,0.00%,48.76%
1,h10.jpg," The figure shows the relationships between knowledge management systems, competitive culture, knowledge sharing behavior, and quality of care. The arrows between the constructs show the direction of the relationships. For example, the arrow from knowledge management systems to competitive culture shows that knowledge management systems can be used to create a competitive culture. The arrow from competitive culture to knowledge sharing behavior shows that a competitive culture can lead to knowledge sharing behavior. The arrow from knowledge sharing behavior to quality of care shows that knowledge sharing behavior can lead to improved quality of care. The arrow from quality of care to knowledge management systems shows that quality of care can be improved by using knowledge management systems.","The leading core technologies in the cutting-edge technology fields of IT, energy, automobiles, electronics, semiconductors, biotechnology, pharmaceuticals and materials science, etc. have become dispersed among individuals, companies and organizations across the globe. The integration of these superior core technologies is a source of innovation of new products and services. (e.g., Kodama, 2007).Across various fields in society, IT innovation is changing working practices, lifestyles, the way products are made and resources are used in production activities. IT technology is being incorporated into a variety of advanced devices and contributing directly and indirectly to the reduction of CO2 emissions. IT innovation is driving energy-efficient manufacturing by promoting energy-saving investments and measures. Such IT innovation will bring about “convergence” - the fusion and integration of different technologies and services and the building of business models across different industries.Meanwhile, with the adoption of the Paris Agreement, a new international framework for the reduction of greenhouse gas emissions and other measures from 2020, all participating countries, including those that are developed, emerging and developing, are strongly urged to take measures to combat global warming. Specifically, Cyber-Physical Systems (CPS) and the Internet of Things (IoT) have been trending globally in recent years while collaboration and fusion of the IT industry with various other industrial fields is transforming various businesses, social activities and the lives of people. Backing the evolution of these innovative technologies is the convergence of IT and electronics technologies, including sensing and location information technologies, energy management systems (HEMS, BEMS, FEMS, etc.), energy-saving devices and data utilization.Furthermore, smart communities such as smart towns and smart cities, into which many countries are currently pouring efforts, are attracting attention as next-generation social systems that connect homes, buildings, and transportation systems with IT networks to make effective local use of energy. IT solutions including energy management systems such as HEMS, BEMS and FEMS to optimize operation smart meters, renewable energy and EVs, etc., and CEMS to integrate the management of those as well as transportation systems such as ITS are becoming indispensable in smart communities. The development of these innovative technologies will greatly contribute to the reduction of CO2 emissions and enable a dramatic increase in energy reduction benefits. Furthermore, XR technology, which has a promising future, will contribute directly and indirectly to global environmental issues by minimizing the physical resources generated, utilized, and consumed in various processes in social, economic, and management activities.Therefore, IT industries in every country need to contribute to global society by further strengthening technological and business partnerships with various industries, supply chains and venture businesses to promote new technologies and businesses through convergence strategies that will open up the future while understanding environmental contributions such as global warming countermeasures.To date, the advances of IT have shortened the time and space in business processes and supply chains across a whole range of industries, accelerated decision-making and raised business efficiency, and have given birth to new business models that transcend and converge dissimilar industries (Kodama, 2020, Kodama, 2021). IT innovation promotes industry-wide co-creation & co-evolution to improve the global environment and increases the possibility of forming dynamic “global ecosystems” as new value chains (see Fig. 2).",26.82%,91.04%,79.29%,1.79%,83.13%
2,h11.png," The table shows the results of a study that untersucht the relationship between knowledge management (KMS), competitive culture (CC), and quality of care (QoC). The study was conducted in two hospitals. The first hospital had a high KMS and a low CC, while the second hospital had a low KMS and a high CC. The results showed that the hospital with the high KMS and low CC had a higher QoC than the hospital with the low KMS and high CC. This suggests that KMS is a more important factor in determining QoC than CC.","The climate crisis is the largest threat to civilization we have ever faced. The Intergovernmental Panel on Climate Change (IPCC) report in 2018 made the science very clear. There are significant climate impacts all around the world even if we limit warming to the recommended 1.5 C. The report also showed there are significant increases in impacts and damages between 1.5 and 2.0 C. These results were fully supported by the IPCC science report (2021). We are building our living standards upon coal, gas, and oil, and few of us want to change our lives, and new global generations are coming that want our living standards. Every corporation wants to be green and practice sustainability even if the reality of the image is most often an illusion or just a fashion (Jevnaker and Olaisen, 2021aaa, Jevnaker and Olaisen, 2021bbb, Jevnaker and Olaisen, 2021aac, Jevnaker and Olaisen, 2021bbd).What is the research situation within knowledge management (KM), information management (IM), information technology (IT) and information system (IS) research? We investigated all academic papers 2016–2020 (N = 481) delivered at the European Conference for Knowledge Management (ECKM). We found that less than 5% of the papers investigated climate issues and concluded that the KM/IM/IT/IS potentially harms environmental-climate issues owing to neglect (Jevnaker and Olaisen, 2021aaa, Jevnaker and Olaisen, 2021bbb, Jevnaker and Olaisen, 2021aac, Jevnaker and Olaisen, 2021bbd).All research consists of problem, knowledge, and methodology sentences. We get traditional pragmatic business-as-usual research when there is an over-focus upon methodology and knowledge sentences and a low focus upon problems. We must start to ask the research questions about environmental and sustainability issues.Through verification and falsification (Popper, 1974), research is expected to come up with theories, paradigms, perspectives (Kuhn, 1962) that explains and explores practices that we may evaluate, giving us either empirical research or critical research (what is acceptable/not acceptable) or constructed research (what is adequate and what is not adequate). Most research is empirical, and to get more focus upon environmental issues, we must get more constructed and critical research setting up the green and sustainable agenda. We must ask the essential questions about if the academic papers involve acceptable or not acceptable climate solutions or if the papers are adequate or not adequate for relevant climate issues. Fig. 3 presents the model of the climate crisis issues within information research.",32.84%,85.54%,79.05%,2.65%,86.87%
3,h12.png," The table shows the results of the clustering algorithm on the six datasets. The algorithm was run with two different settings: `fskms` and `~fskms`. The `fskms` setting produced clusters that were more consistent with the true labels, but the `~fskms` setting produced clusters that covered more of the data. The `fscult` setting produced clusters that were both consistent and covered a large portion of the data.","Research deals with four paradigms: the empirical, the materialistic (political), clarified subjectivity, and action papers. Jevnaker and Olaisen, 2021aaa, Jevnaker and Olaisen, 2021bbb found that nearly all papers might be classified as empirical and as a form of clarified subjectivity papers in harmony with accepted problems, methodology, and knowledge. We must invite papers in conflict with accepted problems, methodology, and knowledge. These papers will be representing the materialistic political and action paradigms. We must ask how research papers, often in conflict, contribute to climate issues. To get green and sustainable papers, we must get more problem-focused research on climate issues, more critical and constructed papers, more exploring papers built upon sensitizing concepts and less upon definitive concepts, and more political and action-based papers. Most of all, we need editors and conference chairs dedicated to climate issues asking for adequate and critical papers on this topic that might be political, action-based, and problems often based in conflict with existing issues, knowledge, and methodology. A political economy paradigm for the climate crisis in information research is a complement to presently prevailing concepts. KM/IM/IS/IT research and papers might be utilized to be a knowledge café, outlet, and center for environmental issues and perspectives. We might develop an environmental paradigm for relevant KM/IM/IS/IT research. We might define another future for societies and organizations. We might be giving the picture of a pluralistic sustainable future and even a utopia (More, 1973). We already have the experience through AI and robotics forming the fourth industrial revolution and solving the environmental issues is the fifth industrial revolution based upon the perspectives from KM/IM/IS/IT research. The paradigms within information research focusing upon the climate crisis area as described in Fig. 4:",24.53%,62.48%,79.23%,2.04%,83.79%
4,h13.png," The table shows the coverage and consistency of the two configurations. Configuration 1 has a higher raw coverage and consistency than Configuration 2. However, Configuration 2 has a higher unique coverage. The solution coverage is 0.850607 and the solution consistency is 0.758331.","The objective and agenda of IS/I/IT/KM research strategy for sustainability are to help to promote knowledge, information, systems, and technology that will:Resolve national and global challenges relating to sustainability in corporations and societies.Facilitate industrial development that enhances sustainability and increases green competitiveness.Promote the innovativeness and creativity for sustainable solutions.Such objectives will include areas like:Reduced climate change and effective adaptation measuresPreservation of ecosystems services and lower environmental impactsSustainable cities, corporations, regions, and transport systemsThe circular knowledge economyThe IPCC, 2018, IPCC, 2021 have mentioned five areas: Food and ecology, Sustainable cities, Energy and material, Health and wellbeing, Transportation. IT/IS/IM/KM are mentioned as essential for all these areas, and there is a need for developing the areas into issues for journals and conferences. The identified focus for research within information research is in Scandinavia sustainable private and public cases where the green and sustainable practices are documented. These cases should be developed into model cases for KM/IM/IS/IT. The cases should be used as action research cases promoting a sustainable practise (Jevnaker and Olaisen, 2021aaa, Jevnaker and Olaisen, 2021bbb, Jevnaker and Olaisen, 2021aac, Jevnaker and Olaisen, 2021bbd). The Scandinavian impact model might look like Fig. 5:",25.24%,78.13%,79.48%,1.52%,78.98%
5,H14.png," The table summarizes the key findings and research gaps in the three research themes: feature intensity, product update frequency, and expert reviews vs. user reviews.

For feature intensity, the key findings are that more advanced features increase perceived innovativeness but risk subsequent overload, and the presence of legacy models with fewer features moderates adoption. The research gaps are what curvilinear relationship exists between feature expansion and sales over time, and how does legacy model availability shift that inverted U shape.

For product update frequency, the key findings are that faster generational release cycles keep products more updated but heighten consumer learning costs, and accelerated sales of older generations depress residual sales of older generations faster. The research gap is what pace of introducing new generations maximizes short-term sales versus long-term brand equity? How does active legacy model availability interact with ideal cadence?

For expert reviews vs. user reviews, the key findings are that expert reviews influence adoption by assessing technical product performance, and user reviews highlight experiential quality from real-world usage. The research gap is how does the volume and dispersion of expert versus user reviews interact to shape sales? When do the review types complement versus compete in driving adoption?","Despite the contribution of the IS/IT industry toward the economic and social welfare of society, IS/IT has often been criticized for having a negative environmental impact. Concerns surrounding the adverse effects both hardware and software have on the environment date back to the Y2K era which led to the massive adoption of enterprise systems (Miyamoto, Harada, & Fujimoto, 2001). These negative impacts include high levels of energy consumption, greenhouse gas emissions and toxic disposal of IS/IT systems (Muregesan, 2008). The disposal of electronic waste (e-waste) while following recycling processes has been widely viewed as not being environmentally friendly, especially the impact of fossil fuels or respiratory inorganics (Barba-Gutiérrez, Adenso-Diaz, & Hopp, 2008). Refurbished ICTs are often used in developing countries where devices tend to have a short life-span and subsequently create environmental damage during disposal (Osibanjo & Nnorom, 2007). Studies have argued that electricity is a major cause of climate change, as many power stations throughout the world still rely on fossil fuels to generate electricity (Asongu et al., 2020, Tamburini et al., 2015). Energy hungry technologies such as applications of blockchain in the form of bitcoin, has been widely criticized for producing over 22–29 million metric tonnes of carbon dioxide emission each year. These figures are comparable to the carbon dioxide production of entire countries such as Jordan and Sri Lanka (Marr, 2018, Stoll et al., 2019). Technologies such as the Internet of Things (IoT), sensors and actuators have a shorter lifespan which leads to increased waste in the environment (Chakraborty and Gupta, 2016, Chakraborty et al., 2014, Nižetić et al., 2020). Digital transformation initiatives such as smart cities have concerns surrounding ICT waste management, energy management and emission management which needs to be addressed for achieving long term sustainability and viability (Ismagilova, Hughes, Dwivedi, & Raman, 2019).From an IS/IT perspective, IoT and Artificial Intelligence (AI) could potentially offer solutions for reducing the impact of technology projects (Salam, 2020). High ICT-driven initiatives need to plan for sustainability by thinking from the perspective of social welfare and e-waste impact (Kar, Ilavarasan, Gupta, Janssen, & Kothari, 2019). Wireless communication technologies need adaptations so that emissions can be further reduced. AI can operate with such technologies to enhance the usage of bandwidth and energy consumption to significantly reduce the carbon footprint of the telecom sector Ullah et al. (2020). Similarly, AI integrated with blockchain has been found to positively impact water management and climate control (Lin, Petway, Lien, & Settele, 2018). AI can manage and reduce energy consumption within smart cities (Şerban & Lytras, 2020). Studies have identified that blockchain applications can improve sustainable practices in supply chain management and agricultural practices (Kshetri, 2021). Similarly, within nano-technology applications, AI has provided benefits through better precision in agricultural water distribution delivering positive impacts on efficient use of natural resources. The communication of sustainability related messages within social media has greatly increased during the pandemic (Grover et al., 2019, Grover et al., 2021, Yadav et al., 2021). The literature has highlighted that during crisis periods IS research can provide “signposting” for sustainability actions through improved digital monitoring, tackling information flow and paranoia, and orchestrating data ecosystems for improved decision making (Pan & Zhang, 2020).The focus towards renewable energy has increased dramatically. The IRENA (2021) report indicates that jobs in sustainability and cleaner energy are increasing exponentially year on year, especially in solar and wind energy. This shift towards greener energy consumption is common across industries producing and consuming technology products and services. There is evidence that if stakeholders are convinced about energy management, their engagement in Green IS/IT programs will increase (Nyberg, 2018).The literature highlights the use of theories such as: Institutional Theory, Resource Based View, Technology Organization Environment framework, Theory of Planned Behavior and Motivational Theory as the dominant models used in the IS literature (Asadi & Dahlan, 2017). Lesser used theoretical lenses such as: Upper Echelon Theory, Self Determination Theory, Green Theory, Norm Activation Model, Elaboration Likelihood Model, Dynamic Capability Theory, Actor-Network Theory and Expectancy Theory. could be used to explore future research relating to environmental impacts of technology. (Table 1, Table 2)",34.47%,81.92%,77.93%,4.58%,83.39%
6,h15.jpg," This diagram shows the process of collecting and analyzing expert and customer reviews of smartwatches. The data was collected from a variety of sources, including CNET, Wired, PC Mag, Engadget, and Digital Trends. The data was then filtered to remove any reviews that were not related to smartwatches or that did not contain any useful information. The remaining reviews were then analyzed using a sentiment analysis algorithm to determine the overall sentiment of each review. The results of the analysis showed that the majority of expert reviews were positive, while the majority of customer reviews were negative. This suggests that experts are generally more positive about smartwatches than consumers are.","We recognize knowledge as a vital resource within healthcare organizations, given their knowledge-intensive use and nature (Agrifoglio et al., 2021, Hossain et al., 2019). The theoretical underpinning of healthcare organizations as knowledge-dependent or knowledge-focused (Sharma et al., 2021) draws parallels from the resource-based view of the firm (Barney, 1991). According to the theoretical propositions of the resource-based view, internal and external sources of sustained competitive advantage rely on the organizational capability to acquire and control rare, unique and hard-to-imitate resources (Barney, 1991). The discussion of knowledge as a complex resource, compatible with Barney’s principles of sustained competitive advantage, suggests a leverage of knowledge as equally complex – relying on optimization through social (soft) and structural (hard) sources (Ahn et al., 2021; Tether, 2005). According to Tether (2005), knowledge-focused organizations, such as service-providing sectors, require dynamic and fluid combinations focused on the creative combination of equipment, technology, and infrastructure (hard sources) and human skills and practice (soft sources). Furthermore, the discussion of knowledge as a strategical resource relying on social dependency and causal ambiguity (Curado & Bontis, 2006) relies on the need to explore more complex mechanisms to the attaining of knowledge, as corroborated in healthcare management discussion of knowledge as an asset (Agrifoglio et al., 2021, Kosklin et al., 2022). Given such a definition, we argue that KMS lies within the conceptualization of a hard source of knowledge capable of performance and innovation, given its combination potential of individual knowledge with organizational knowledge (Serenko & Bontis, 2016).Evidence suggests that KMS can promote healthcare performance (Du Plessis, 2005), improvement of patient service (Darko et al., 2018), efficient decision-making (Du Plessis, 2005) and cost optimization (Ayatollahi et al., 2019). Based on such evidence, we propose that:H1KMS have a positive influence on the quality of care provided to patients by healthcare professionals.When KS via KMS is trivial, the habit of sharing knowledge probably becomes stronger (Serenko & Bontis, 2016). According to Anser et al. (2021), KMS and structures can influence KS. Similarly, evidence from healthcare also suggests that KMS are related to the optimization of knowledge by permitting an increase in knowledge quality, promoting innovation, and establishing grounds for a culture of learning in healthcare (Karamat et al., 2019, Karamitri et al., 2017). According to Ayatollahi and colleagues (2019), the existence of KMS “plays a supporting role for managing the knowledge (…). It can transform the organization’s attitude to KS and can lead to the organizational success (…)” (p. 12). Therefore, we also propose that:H2KMS have a positive influence on the KS found among healthcare professionals.The service role of healthcare allows for the comparison of characteristics between healthcare and other knowledge-intensive settings. Tether’s (2005) view of sources of knowledge in service organizations further permeates our discussion on the social interplay among internal knowledge stakeholders that is vital to achieving competitive advantage (Ahn et al., 2021). Given the socially-dependent features of a competitive culture and the pervasive competitive-focused nature of healthcare as discussed, not as contrary, but as complementary (Ayatollahi and Zeraatkar, 2019, Karamat et al., 2019, Karamitri et al., 2017), we argue that the shape of human interactions stemming from a competitive culture constitutes an organizational soft source of knowledge by promoting a need of learning and development (Anh et al., 2021, Savic et al., 2020). Therefore, we also propose that:H3A competitive culture in healthcare organizations positively influences the quality of care provided to patients by healthcare professionals.Knowledge management-related practices can further reinforce a sense of challenge and promote a learning culture (Parayitam et al., 2021). Considering both the quasi-accidental nature of KS as a behavior that can be promoted by awareness of KM practices, and the strategical alignment given to KM in the promotion of a competitive environment in healthcare (Chesley et al., 2020; Karamitri et al., 2017; Kosklin et al., 2022), we acknowledge confronting influences that contribute to KS. Evidence suggests that the quasi-accidental nature of knowledge sharing (Ipe, 2003) can permeate if a learning attitude is observed (Sabherwal et al., 2023), even in paradoxical environments (Devi, 2023). Although an argument can be made towards the barriers of knowledge flow in competitive and complex structures find in healthcare (cf. Pandey et al., 2021), the individual predisposition to enact on knowledge as a token of power display and organizational need in healthcare (e.g. Karamitri et al., 2017; Kosklin et al., 2022) can be enticed if cooperative-competitive strategies are promoted by the organization (Kovner & Jonas, 2002). Therefore, we argue that a competitive culture can promote KS in healthcare organizations, leading to the hypothesis:H4A competitive culture in healthcare organizations positively influences KS.The underpinnings of the resource-based view of the firm (Barney, 1991) suggest that knowledge is not only a resource strictly linked to the characteristics of a competitive resource, but it can also represent a resource so complex that it relies on individual managerial needs to be exploited, leading to a succeeding theoretical tailored to the complexities of knowledge (Curado & Bontis, 2006) – that of the knowledge-based view of the firm (Grant, 1996). This proposition reflects the knowledge-based view of the firm and suggests that knowledge is an intangible resource that requires dynamic processes in its management (Curado and Bontis, 2006, Singh et al., 2019). As such, knowledge represents a powerful resource to attain organizational performance (Singh et al., 2019), with the challenges of existing in a non-static form within organizational borders, further requiring the need for different sources of influence to be maximized (Moftian et al., 2022).By extension, evidence suggests that healthcare performance is increased when knowledge is exchanged between healthcare workers (Ayatollahi et al., 2019; Karamat et al., 2019; Karamitri et al., 2017; Kessel et al., 2012; Mura et al., 2016; Radaelli et al., 2014), being also positively related to creativity and innovation in such environments (Radaelli et al., 2014). Based on such evidence and considering the individual-level nature of KS in organizations (Nonaka, 1994), we propose that:H5KS has a positive influence on the quality of care provided to patients by healthcare professionals.Fig. 1 presents the research model in Study 1.",35.81%,75.26%,78.92%,0.02%,85.40%
7,h16.png," The table shows the mean, standard deviation, and range of values for each variable. The mean is the average value of the variable, the standard deviation is a measure of how much the values vary from the mean, and the range is the difference between the maximum and minimum values.

The variable with the highest mean is Sales, with a mean of 145,000. This means that the average value of Sales is 145,000. The variable with the lowest mean is Update Frequency, with a mean of 2.8. This means that the average value of Update Frequency is 2.8.

The variable with the highest standard deviation is Prior Generation Sales, with a standard deviation of 190,000. This means that the values of Prior Generation Sales vary a lot from the mean. The variable with the lowest standard deviation is Expert Polarity, with a standard deviation of 0.15. This means that the values of Expert Polarity do not vary much from the mean.

The variable with the highest range is Sales, with a range of 500 to 12,000,000. This means that the difference between the maximum and minimum values of Sales is very large. The variable with the lowest range is Update Frequency, with a range of 1 to 8. This means that the difference between the maximum and minimum values of Update Frequency is very small.","After the assessment of the measurement model, we examined the path coefficients and the coefficient of determination (R2) to determine the significance of the relationships proposed in the structural model. Following best practices, we use the SmartPLS® bootstrapping procedure using 5000 subsamples and a parallel process technique (Hair et al., 2017). Results show that both KMS (β = 0.482; t = 10.986) and KS (β = 0.128; t = 2.202) have a positive influence on the quality of care provided to patients (H1, H3). By extension, findings also suggest that the existence of KMS positively influence KS (β = 0.168; t = 2.035) (H2). Similarly, a competitive culture also positively influences the quality of care provided to patients (β = 0.105; t = 2.154) (H5). However, results show no statistically significant relationship between competitive culture and KS (H4). Therefore, H1, H2, H3 and H5 were supported. H4 was not supported. Table 7 presents the main structural model results.",40.62%,68.71%,80.51%,42.81%,84.27%
8,h17.png," The table summarizes the key themes, limitations, research gaps, and references of the articles reviewed. The key themes are business model innovation, business model transformation, required capabilities, environmental context, and AI vs. other IT enablers. The limitations and research gaps identified in the articles are as follows:

- **Business Model Innovation:** How does one differentiate between incremental business model innovation that maintains organizational viability for the immediate planning horizon and fundamental business model transformation that prepares the business for long-term success?


- **Business Model Transformation:** Amongst the wide list of identified potential capabilities, which capabilities are core to success in IT-enabled business model transformation (as opposed to lower stakes business model innovation)? How do the specific capabilities inter-relate, and are some more important than others?


- **Required Capabilities:** Do the capabilities and interactions change when the technology enabler is AI - a technology that is quickly evolving and regulation and 'accepted practices' are not yet solidified?


- **Environmental Context:** How does the environmental context influence success in IT-enabled business model transformation (as opposed to lower stakes business model innovation)?","Regarding the explained variation of results, results show that KMS, KS, and competitive culture had explained approximately 33% of quality of care (R2 = 0.326). Following the recommendations stemming from the literature, the explanation power of the main exogenous variable was considered moderate (Chin, 1998). Following the bootstrapping procedures, we assessed the predictive power of the model using a blindfolding technique (Hair et al., 2017) using 10 folds. Results show a moderate prediction relevance for quality of care, the main exogenous construct (Q2 = 0.293), suggesting a predictive relevance for the overall model (Q2 > 0) (Hair et al., 2011) (Fig. 2).",27.02%,73.18%,79.35%,40.41%,77.86%
9,h18.jpg," The figure shows the relationships between the environmental context, capabilities, enablers, and performance of a business. The environmental context includes industry dynamism and opportunity/threat framing. The capabilities of the business include the ability to run and change, AI-oriented data and IS readiness, and market/customer awareness. The enablers of the business include top management support, risk appetite, and slack. The performance of the business is measured by its business model innovation and business model transformation.

The arrows in the figure show the relationships between these factors. The environmental context influences the capabilities of the business. The capabilities of the business influence the enablers of the business. The enablers of the business influence the performance of the business.

The figure provides a holistic view of the factors that influence the performance of a business. It can be used to help businesses identify areas where they need to improve in order to achieve their goals.","FsQCA is a Set-theory based analytic technique that is suitable for addressing complex phenomena (Roig-Tierno et al., 2017) to test our research propositions (P1 and P2). FsQCA is a diversity-oriented methodology that reveals alternative pathways leading to specific outcomes through the investigation of causal relationships and their dependence on contextual conditions. It is a reliable method to examine complex causality (Fiss, 2011) as previously applied to similar research in the healthcare context (Yáñez-Araque et al., 2021). Contrary to quantitative traditional statistical methods, fsQCA does not estimate the effect between variables, but it identifies combinations of conditions leading to an outcome (Fiss, 2011), which is an improvement compared to only providing a single estimated solution for the dependent variable (Ragin, 2008).Complexity theory acknowledges that quality of care results from a complex interaction of influences (Anufriyeva et al., 2020; Moen et al., 2021) and supports research on real-world phenomena in which researchers collect datasets to analyze (Woodside, 2017). Configurational theory accepts that there are alternative ways to achieve the same outcome. Reality is not perfectly linear; thus, the same conditions may produce different effects under specific circumstances (Cuadrado-Ballesteros et al., 2017). Considering the research hypotheses and the literature suggesting it takes an interplay of several conditions to provide quality of care (Desveaux et al., 2019, Hannawa et al., 2021), an argument on complexity of relationships can be made after the discussion of hard and soft sources shaping organizational knowledge (here translated under higher levels of quality of care), taking shape by technological use (cf. Anh et al., 2021; Tether, 2005). Therefore, we propose that:P1High awareness of knowledge management systems provides a technological source contributing to high levels of quality of care.Adding to such rationale, while the nature of KM systems justifies a technological support driving organizational knowledge outputs (e.g. quality of care) the nature of a a competitive culture and knowledge sharing behavior among peers relies on a non-technological, soft source of support (cf. Chesley et al., 2020; Nonaka, 1994).Considering the knowledge-intensive nature of healthcare (Agrifoglio et al., 2021), the discussed articulation between cooperation-based (Karamat et al., 2019, Karamitri et al., 2017) and competitive-based managerial strategies (Goddard, 2015; Chesley et al., 2020) suggests a level of soft source of support that can facilitate decisions supported by knowledge. As a consequence, there is a need to understand the complex interplay of such sources of support that rely on the optimization of social (soft) and structural (hard) sources (Ahn et al., 2021; Tether, 2005). As discussed, Tether (2005) proposes that knowledge-focused organizations, such as service-providing sectors, require dynamic and fluid combinations focused on the creative combination of equipment, technology, and infrastructure (hard sources) and human skills and practice (soft sources). Therefore, we propose that:P2Combined high levels of competitive culture and knowledge sharing behavior provide non-technological sources contributing for high levels of quality of care.We expand on the initial research model with the inclusion of the new propositions (Fig. 3). The integrated model in Study 2 reflects the research hypotheses with the additive nature of the propositions, accommodating the need to explore individual (e.g., soft sources of support (Ogunrinde, 2020)) and organizational (e.g., dynamic capabilities (de Miguel et al., 2022) levels of influence driving quality of care and the different contributions to quality of care - addressing a gap in recent literature (Ayatollahi & Zeraatkar, 2019; Hannawa et al., 2022).",45.59%,76.30%,79.01%,4.43%,85.94%
